District_Name,SCHOOL,Gender,2011,2012,2013,2014,2015
WAKISO,"BRETHREN MEMORIAL SCHOOL,MATUGGA",FEMALE,32,26,42,14,12
WAKISO,,MALE,27,26,34,23,5
WAKISO,"BRIDGES COLLEGE,ZANA",FEMALE,,13,14,13,
WAKISO,,MALE,,8,8,8,
WAKISO,"BRIGHT FUTURE ACADEMY,BULAGA",FEMALE,18,11,34,11,10
WAKISO,,MALE,15,17,28,10,16
WAKISO,BRIGHT FUTURE BWEBAJJA SECONDARY SCHOOL,FEMALE,33,34,48,16,13
WAKISO,,MALE,27,47,56,15,9
WAKISO,"BRIGHT FUTURE VOCATIONAL SS,KAWEMPE",FEMALE,10,15,40,38,32
WAKISO,,MALE,14,19,44,35,42
WAKISO,"BRIGHT TRUST SECONDARY SCHOOL,KYENGERA",FEMALE,,,24,9,14
WAKISO,,MALE,,,20,7,7
WAKISO,"BRILLIANT HIGH SCHOOL,KAWEMPE",FEMALE,50,66,126,47,56
WAKISO,,MALE,49,55,146,54,50
WAKISO,BUDDO COLLEGE,FEMALE,11,9,22,17,17
WAKISO,,MALE,23,15,30,14,11
WAKISO,BUDDO SECONDARY SCHOOL,FEMALE,183,205,442,214,231
WAKISO,,MALE,145,199,430,215,204
WAKISO,"BUGANDA COLLEGE,WAKISO",FEMALE,,,32,13,10
WAKISO,,MALE,,,30,11,9
WAKISO,BULENGA PARENTS SECONDARY SCHOOL,FEMALE,,13,68,18,17
WAKISO,,MALE,,20,90,27,16
WAKISO,BULOBA HIGH SCHOOL,FEMALE,85,103,184,96,91
WAKISO,,MALE,75,88,162,93,71
WAKISO,BULOBA SECONDARY SCHOOL,FEMALE,24,37,54,17,26
WAKISO,,MALE,31,41,46,11,27
WAKISO,BUSIRO MODERN ACADEMY,FEMALE,,11,42,10,9
WAKISO,,MALE,,16,34,13,15
WAKISO,BUSSI SEED SECONDARY SCHOOL,FEMALE,,,8,7,3
WAKISO,,MALE,,,22,6,7
WAKISO,"BUWAGGA SECONDARY SCHOOL,KASANGATI",FEMALE,21,41,74,29,30
WAKISO,,MALE,40,48,92,28,25
WAKISO,BUWAMBO SECONDARY SCHOOL,FEMALE,,,12,17,9
WAKISO,,MALE,,,32,15,6
WAKISO,BUWAMBO SEED SECONDARY SCHOOL,FEMALE,,,,9,22
WAKISO,,MALE,,,,8,14
WAKISO,BWEYOGERERE HIGH SCHOOL,FEMALE,,,50,30,8
WAKISO,,MALE,,,56,42,25
WAKISO,BWEYOGERERE SECONDARY SCHOOL,FEMALE,49,43,110,45,49
WAKISO,,MALE,60,68,142,40,58
